,0,1,2
0,14006.803184686449,-773.7458373693827,-540.1170743345859
1,14004.618208848411,-773.1583155389403,-540.7634157663814
2,13997.568771719389,-772.5528014124241,-541.8775600129158
3,13972.513604394497,-761.8783840149651,-546.5153136538112
4,13962.685368959208,-759.2427657600113,-546.5724216708497
5,13955.947021400985,-760.1434277206133,-547.3929425262289
6,13939.34738106322,-758.74754601491,-546.1810111597933
7,13929.60484469897,-758.3038181911755,-545.123403426588
8,13930.360985430383,-757.4633577936318,-545.3707905605692
9,13913.836443870377,-752.9268505167063,-534.5362423135948
10,13864.702938552737,-745.6594397126773,-528.1890947196899
11,13861.521536886363,-742.5901095089655,-529.0862219142278
12,13779.631443716677,-731.9880293311638,-524.7270359078211
13,13750.863015313205,-731.8531759494923,-513.0626067850252
14,13730.085422026761,-729.2380691028218,-501.3706778232653
15,13674.272884818396,-709.6410372894811,-487.80899230438854
16,13590.852632691734,-699.2108751926944,-480.4793308653913
17,13495.194062095983,-679.1717339979394,-460.55584188031446
18,13443.084619307163,-660.1410276832111,-451.1762638313192
19,13405.538922997215,-646.2253392061915,-446.7127968781299
20,13356.25149287553,-633.5075486276132,-440.97972969921784
21,13246.514402631408,-620.6399415625046,-418.2757669223884
22,13236.724377007584,-614.354654828968,-422.2589413615452
23,13226.054178272385,-608.7147537229582,-430.24889310365916
24,12987.35415431654,-577.8798590690419,-415.929940496675
25,12978.456439557593,-577.9909270726138,-409.361530688237
26,12921.55112883259,-564.7069216521369,-403.29160283053585
27,12909.083624923904,-565.1921987625149,-401.22577341082393
28,12887.092909591389,-544.3253485542768,-403.1629924618798
29,12876.70777425696,-541.0510224230693,-405.2849021547713
30,12728.804703862295,-521.482782823726,-397.457562749422
31,12711.613419506304,-506.9625569708495,-399.3459983041218
32,12718.81436710689,-511.8833349769076,-396.88257666035116
33,12648.722478720614,-497.47973191458993,-393.05200502982746
34,12685.012357896463,-499.92100845885534,-393.0549876227795
35,12522.403545668294,-496.0218717183057,-376.8851792976707
36,12488.688829372792,-481.8026105037074,-385.23844680908564
37,12457.274013719265,-480.7584496708021,-378.31874341545773
38,12358.882433398234,-466.92290470166506,-361.0101566854055
39,12325.646702675142,-462.715346210211,-362.15779834748685
40,12345.520551385463,-471.9162638340357,-384.30021190636535
41,12249.458117275823,-447.956530561991,-365.484099139646
42,12232.077907361268,-433.6307116650845,-364.8168433361216
43,12243.820825453598,-445.8553734484918,-358.9075139126403
44,12231.980943365665,-444.5814709710946,-359.58497123798236
45,12120.103345970982,-439.63322039701455,-343.65833304874565
46,12049.45507299028,-412.56683351407526,-314.5433209643614
47,12005.969361284728,-409.8737336656956,-326.41629017443245
48,11912.428951302301,-392.64741396517036,-320.57638491378225
49,11922.921029344792,-368.56556368848845,-310.9337544168306
50,11683.60525323652,-329.156401884406,-289.46795588669056
51,11640.602611705703,-329.79135021321406,-292.4570907217642
52,11605.385528326886,-312.3226024847052,-280.8171336454441
53,11522.649768028521,-296.84413579365383,-267.7424440048289
54,11415.193562654273,-281.0753916879632,-259.4628139830152
55,11400.338383795748,-251.0330251753794,-250.22396733486852
56,11382.750744009792,-261.661698804049,-250.84906505374158
57,11396.947293552355,-248.92078052566393,-227.968974920174
58,11334.389695786884,-245.89271833186072,-231.92985983413675
59,11321.546286503555,-247.84200953169585,-251.46198332643056
60,11184.353014540286,-215.942673911551,-245.94428310871166
61,11295.536192638847,-217.49376661712995,-249.70533721601572
62,11201.285861521392,-220.15491647947036,-250.8473990324003
63,11116.471860246727,-180.17862431558603,-240.17248415668826
64,11233.90815755857,-208.9311513918343,-244.31547058562683
65,10938.959612400058,-204.81490981185067,-235.0082275414378
66,10785.057552614177,-177.73815096146538,-224.16937619033249
67,10722.62900989934,-153.8989243855382,-208.22020555116782
68,10598.917944857447,-144.81465937348523,-199.7624401726012
69,10656.729199704327,-148.91923844412258,-220.3763679903132
70,10521.917688159967,-119.17899286890884,-180.7096374337337
71,10383.67829300385,-115.60472042053868,-190.12505838793447
72,10233.579552972447,-77.9434187365597,-207.2085285174123
73,9971.15162385807,-58.280458741067456,-184.17313471128838
74,9856.338978810309,-39.9610505348115,-178.528612165956
75,9849.284599928167,-52.395981100982766,-190.08357522645187
76,9910.052177012563,-45.60112427641263,-187.44036080346592
77,9845.115256346957,-71.44191909227648,-187.71675178014607
78,9969.726754583096,-64.15315106817602,-191.9064908329256
79,9700.970136052618,-14.201692413216339,-167.87374867920929
80,9641.32755627344,35.89143047477892,-148.91138143782328
81,9584.137478354078,6.762845287747848,-142.0039653049464
82,9384.981393302014,58.21830946092258,-170.94465753235258
83,9350.709441335137,79.81094995167855,-190.3764823687992
84,9151.166153569608,127.2516093695277,-145.61241097382504
85,9085.587232645692,129.97791673154077,-152.46112985676052
86,9034.074620839001,124.79858693847362,-159.29261181362793
87,8880.645015608708,139.25270580734437,-179.22299936254797
88,8790.149442528023,133.51201197980592,-170.49536485521008
89,8777.699530637916,158.31589342812396,-139.44236123796895
90,8818.934923287812,141.52117571285774,-155.9939799207138
91,8643.441975875317,191.87542038262234,-135.97370418263378
92,8659.885264429246,167.75778978521456,-135.11359304111426
93,8625.268115327952,165.16689458672843,-152.183490709682
94,8401.506217879092,210.86290581135572,-180.3153291292588
95,8531.554244574292,209.41857336907097,-155.4788279811693
96,8480.652738056802,228.64733600498306,-167.83228167473027
97,8141.211511444075,249.1484920663915,-112.83036816567274
98,7989.625211758735,282.8763001876991,-86.05645469706081
99,7835.304974487805,337.7898924669502,-112.83768733801928
100,7821.745564677916,326.9558370953315,-96.82219292515629
101,7689.582643035435,341.074608029579,-90.33279125902533
102,7577.042701651369,355.5764601386788,-63.90701110827519
103,7443.96473167818,357.3262890736961,-49.18961403390444
104,7456.233711185534,364.8058148098111,-48.29103443865594
105,7551.699191130645,376.68873049022454,-78.6044101086034
106,7463.109845341434,391.006340143361,-53.625817297137644
107,7543.867623169851,431.6539858334926,-40.78168758975395
108,7438.042516802987,438.47935376672507,-66.16537708287582
109,7246.689251355949,441.0594107415307,-60.25465958931362
110,7137.533342100368,478.1424331331914,-67.15607266155196
111,6923.9179396715335,499.6263071083597,-71.67530512890991
112,6751.4902816800195,529.6260174960305,-87.95100895661616
113,6795.264469794336,558.1981564235701,-80.98101965345242
114,6738.253318478958,558.4437179300122,-84.93512162628906
115,6534.602160603283,555.1091232421761,-79.50220439897751
116,6209.914941229375,554.0691278609031,-55.85224591923524
117,6224.684817525258,580.5343316987851,-70.99413513767287
118,6109.51179576903,595.7105429375156,-66.09680911773829
119,6013.087735105339,623.1449496653237,-50.39190646603381
120,5976.887791122032,644.9079784562829,-38.98902839362478
