0.0,3.0,6.0,9.0,10.0,11.0,12.0,14.0,16.0,19.0,22.0,26.0,28.0,31.0,34.0,37.0,40.0,43.0,47.0,48.0,50.0,54.0,57.0,60.0,62.0,63.0,64.0,67.0,69.0,71.0,73.0,74.0,76.0,89.0,92.0,96.0,95.0,96.0,97.0,94.0,93.0,95.0,94.0,95.0,92.0,92.0,93.0,93.0,92.0,93.0,97.0,96.0,94.0,91.0,89.0,88.0,86.0,87.0,87.0,88.0,88.0,89.0,89.0,85.0,89.0,88.0,90.0,89.0,89.0,90.0,91.0,91.0,88.0,85.0,86.0,85.0,83.0,82.0,81.0,81.0,85.0,83.0,81.0,82.0,81.0,80.0,79.0,77.0,79.0,77.0,76.0,74.0,78.0,75.0,74.0,72.0,73.0,72.0,72.0,73.0,76.0,78.0,80.0,83.0,85.0,84.0,101.0,100.0,99.0,98.0,101.0,99.0,100.0,100.0,101.0,99.0,98.0,96.0,95.0,94.0,93.0,91.0,89.0,91.0,91.0,88.0,87.0,84.0,86.0,85.0,84.0,82.0,81.0,81.0,79.0,81.0
3.0,0.0,3.0,6.0,7.0,8.0,9.0,11.0,13.0,16.0,19.0,23.0,25.0,28.0,31.0,34.0,37.0,40.0,44.0,45.0,47.0,51.0,54.0,57.0,59.0,60.0,61.0,64.0,66.0,68.0,70.0,71.0,73.0,90.0,93.0,97.0,96.0,97.0,98.0,95.0,94.0,94.0,93.0,94.0,91.0,91.0,92.0,92.0,91.0,92.0,96.0,95.0,93.0,90.0,88.0,87.0,85.0,86.0,86.0,87.0,87.0,88.0,88.0,84.0,88.0,87.0,89.0,88.0,88.0,89.0,90.0,90.0,87.0,84.0,85.0,84.0,82.0,81.0,80.0,80.0,84.0,82.0,80.0,81.0,80.0,79.0,78.0,76.0,78.0,76.0,75.0,73.0,77.0,74.0,73.0,71.0,72.0,71.0,71.0,72.0,75.0,77.0,79.0,82.0,84.0,83.0,100.0,99.0,98.0,97.0,100.0,98.0,99.0,99.0,100.0,98.0,97.0,95.0,94.0,93.0,92.0,90.0,88.0,90.0,90.0,87.0,86.0,83.0,85.0,84.0,83.0,81.0,80.0,80.0,78.0,80.0
6.0,3.0,0.0,3.0,4.0,5.0,6.0,8.0,10.0,13.0,16.0,20.0,22.0,25.0,28.0,31.0,34.0,37.0,41.0,42.0,44.0,48.0,51.0,54.0,56.0,57.0,58.0,61.0,63.0,65.0,67.0,68.0,70.0,91.0,94.0,98.0,97.0,98.0,99.0,96.0,95.0,95.0,94.0,95.0,94.0,94.0,95.0,95.0,94.0,95.0,93.0,92.0,90.0,87.0,85.0,84.0,82.0,83.0,83.0,84.0,84.0,85.0,85.0,81.0,85.0,84.0,86.0,85.0,85.0,86.0,87.0,87.0,84.0,81.0,82.0,81.0,79.0,78.0,77.0,77.0,83.0,81.0,79.0,80.0,79.0,76.0,75.0,73.0,75.0,73.0,72.0,70.0,74.0,71.0,70.0,68.0,69.0,68.0,68.0,69.0,72.0,74.0,76.0,79.0,81.0,80.0,97.0,96.0,95.0,94.0,97.0,95.0,96.0,96.0,97.0,95.0,94.0,92.0,91.0,90.0,89.0,87.0,85.0,87.0,87.0,84.0,83.0,80.0,82.0,81.0,80.0,78.0,77.0,77.0,75.0,77.0
9.0,6.0,3.0,0.0,3.0,4.0,5.0,7.0,9.0,12.0,15.0,19.0,21.0,24.0,27.0,30.0,33.0,36.0,40.0,41.0,43.0,47.0,50.0,53.0,55.0,56.0,57.0,60.0,62.0,64.0,66.0,67.0,69.0,92.0,95.0,99.0,98.0,99.0,98.0,95.0,94.0,94.0,93.0,94.0,93.0,93.0,94.0,94.0,93.0,94.0,92.0,91.0,89.0,86.0,84.0,83.0,81.0,82.0,82.0,83.0,83.0,84.0,84.0,80.0,84.0,83.0,85.0,84.0,84.0,85.0,86.0,86.0,83.0,80.0,81.0,80.0,78.0,77.0,76.0,76.0,82.0,80.0,78.0,79.0,78.0,75.0,74.0,72.0,74.0,72.0,71.0,69.0,73.0,70.0,69.0,67.0,68.0,67.0,67.0,68.0,71.0,73.0,75.0,78.0,80.0,79.0,96.0,95.0,94.0,93.0,96.0,94.0,95.0,95.0,96.0,94.0,93.0,91.0,90.0,89.0,88.0,86.0,84.0,86.0,86.0,83.0,82.0,79.0,81.0,80.0,79.0,77.0,76.0,76.0,74.0,76.0
10.0,7.0,4.0,3.0,0.0,3.0,4.0,6.0,8.0,11.0,14.0,18.0,20.0,23.0,26.0,29.0,32.0,35.0,39.0,40.0,42.0,46.0,49.0,52.0,54.0,55.0,56.0,59.0,61.0,63.0,65.0,66.0,68.0,93.0,96.0,100.0,99.0,100.0,99.0,96.0,95.0,95.0,94.0,93.0,92.0,92.0,93.0,93.0,92.0,93.0,91.0,90.0,88.0,85.0,83.0,82.0,80.0,81.0,81.0,82.0,82.0,83.0,83.0,79.0,83.0,82.0,84.0,83.0,83.0,84.0,85.0,85.0,82.0,79.0,80.0,79.0,77.0,76.0,75.0,75.0,81.0,79.0,77.0,78.0,77.0,74.0,73.0,71.0,73.0,71.0,70.0,68.0,72.0,69.0,68.0,66.0,67.0,66.0,66.0,67.0,70.0,72.0,74.0,77.0,79.0,78.0,95.0,94.0,93.0,92.0,95.0,93.0,94.0,94.0,95.0,93.0,92.0,90.0,89.0,88.0,87.0,85.0,83.0,85.0,85.0,82.0,81.0,78.0,80.0,79.0,78.0,76.0,75.0,75.0,73.0,75.0
11.0,8.0,5.0,4.0,3.0,0.0,3.0,5.0,7.0,10.0,13.0,17.0,19.0,22.0,25.0,28.0,31.0,34.0,38.0,39.0,41.0,45.0,48.0,51.0,53.0,54.0,55.0,58.0,60.0,62.0,64.0,65.0,67.0,94.0,97.0,101.0,100.0,101.0,100.0,97.0,96.0,96.0,95.0,94.0,93.0,93.0,94.0,94.0,93.0,92.0,90.0,89.0,87.0,84.0,82.0,81.0,79.0,80.0,80.0,81.0,81.0,82.0,82.0,78.0,82.0,81.0,83.0,82.0,82.0,83.0,84.0,84.0,81.0,78.0,79.0,78.0,76.0,75.0,74.0,74.0,80.0,78.0,76.0,77.0,76.0,73.0,72.0,70.0,72.0,70.0,69.0,67.0,71.0,68.0,67.0,65.0,66.0,65.0,65.0,66.0,69.0,71.0,73.0,76.0,78.0,77.0,94.0,93.0,92.0,91.0,94.0,92.0,93.0,93.0,94.0,92.0,91.0,89.0,88.0,87.0,86.0,84.0,82.0,84.0,84.0,81.0,80.0,77.0,79.0,78.0,77.0,75.0,74.0,74.0,72.0,74.0
12.0,9.0,6.0,5.0,4.0,3.0,0.0,2.0,4.0,7.0,10.0,14.0,16.0,19.0,22.0,25.0,28.0,31.0,35.0,36.0,38.0,42.0,45.0,48.0,50.0,53.0,54.0,57.0,59.0,61.0,63.0,64.0,66.0,93.0,96.0,100.0,99.0,100.0,99.0,96.0,95.0,95.0,94.0,93.0,92.0,92.0,93.0,93.0,92.0,91.0,89.0,88.0,86.0,83.0,81.0,80.0,78.0,79.0,79.0,80.0,80.0,81.0,81.0,77.0,81.0,80.0,82.0,81.0,81.0,82.0,83.0,83.0,80.0,77.0,78.0,77.0,75.0,74.0,73.0,73.0,79.0,77.0,75.0,76.0,75.0,72.0,71.0,69.0,71.0,69.0,68.0,66.0,70.0,67.0,66.0,64.0,65.0,64.0,64.0,65.0,68.0,70.0,72.0,75.0,77.0,76.0,93.0,92.0,91.0,90.0,93.0,91.0,92.0,92.0,93.0,91.0,90.0,88.0,87.0,86.0,85.0,83.0,81.0,83.0,83.0,80.0,79.0,76.0,78.0,77.0,76.0,74.0,73.0,73.0,71.0,73.0
14.0,11.0,8.0,7.0,6.0,5.0,2.0,0.0,2.0,5.0,8.0,12.0,14.0,17.0,20.0,23.0,26.0,29.0,33.0,34.0,36.0,40.0,43.0,46.0,48.0,51.0,52.0,55.0,57.0,59.0,61.0,62.0,64.0,93.0,96.0,100.0,99.0,98.0,97.0,94.0,93.0,93.0,92.0,91.0,90.0,90.0,91.0,91.0,90.0,89.0,87.0,86.0,84.0,81.0,79.0,78.0,76.0,77.0,77.0,78.0,78.0,79.0,79.0,75.0,79.0,78.0,80.0,79.0,79.0,80.0,81.0,81.0,78.0,75.0,76.0,75.0,73.0,72.0,71.0,71.0,79.0,77.0,75.0,74.0,73.0,70.0,69.0,67.0,69.0,67.0,66.0,64.0,68.0,65.0,64.0,62.0,63.0,62.0,62.0,63.0,66.0,68.0,70.0,73.0,75.0,74.0,91.0,90.0,89.0,88.0,91.0,89.0,90.0,90.0,91.0,89.0,88.0,86.0,85.0,84.0,83.0,81.0,79.0,81.0,81.0,78.0,77.0,74.0,76.0,75.0,74.0,72.0,71.0,71.0,69.0,71.0
16.0,13.0,10.0,9.0,8.0,7.0,4.0,2.0,0.0,3.0,6.0,10.0,12.0,15.0,18.0,21.0,24.0,27.0,31.0,32.0,34.0,38.0,41.0,44.0,46.0,49.0,50.0,53.0,55.0,57.0,59.0,60.0,62.0,91.0,94.0,98.0,97.0,96.0,95.0,92.0,91.0,91.0,90.0,89.0,88.0,88.0,89.0,89.0,88.0,87.0,85.0,84.0,82.0,79.0,77.0,76.0,74.0,75.0,75.0,76.0,76.0,77.0,77.0,73.0,77.0,76.0,78.0,77.0,77.0,78.0,79.0,79.0,76.0,73.0,74.0,73.0,71.0,70.0,69.0,69.0,77.0,75.0,73.0,72.0,71.0,68.0,67.0,65.0,67.0,65.0,64.0,62.0,66.0,63.0,62.0,60.0,61.0,60.0,60.0,61.0,64.0,66.0,68.0,71.0,73.0,72.0,89.0,88.0,87.0,86.0,89.0,87.0,88.0,88.0,89.0,87.0,86.0,84.0,83.0,82.0,81.0,79.0,77.0,79.0,79.0,76.0,75.0,72.0,74.0,73.0,72.0,70.0,69.0,69.0,67.0,69.0
19.0,16.0,13.0,12.0,11.0,10.0,7.0,5.0,3.0,0.0,3.0,7.0,9.0,12.0,15.0,18.0,21.0,24.0,28.0,29.0,31.0,35.0,38.0,41.0,43.0,46.0,47.0,50.0,52.0,54.0,56.0,57.0,59.0,92.0,95.0,99.0,98.0,97.0,96.0,93.0,92.0,92.0,91.0,90.0,89.0,89.0,90.0,90.0,89.0,88.0,86.0,85.0,83.0,80.0,78.0,77.0,75.0,76.0,76.0,77.0,77.0,78.0,78.0,74.0,78.0,77.0,79.0,78.0,76.0,77.0,76.0,76.0,73.0,70.0,71.0,70.0,68.0,67.0,66.0,66.0,74.0,72.0,70.0,69.0,68.0,65.0,64.0,62.0,64.0,62.0,61.0,59.0,63.0,60.0,59.0,57.0,58.0,57.0,57.0,58.0,61.0,63.0,65.0,68.0,70.0,69.0,86.0,85.0,84.0,83.0,86.0,84.0,85.0,85.0,86.0,84.0,83.0,81.0,80.0,79.0,78.0,76.0,74.0,76.0,76.0,73.0,72.0,69.0,71.0,70.0,69.0,67.0,66.0,66.0,64.0,66.0
