,LK
0,0.9821136324218203
1,0.9826713843737029
2,0.9832532361824463
3,0.9839729157500201
4,0.9844785317223523
5,0.9849841407050843
6,0.9856194931211777
7,0.9864397039256615
8,0.9868210598106673
9,0.9882381990137645
10,0.9888508349307683
11,0.9894473518111837
12,0.9904829413886517
13,0.9911639400333945
14,0.9920383052921684
15,0.9926965546924801
16,0.9935136822399383
17,0.9941840494835289
18,0.9945898406260913
19,0.9955816662477804
20,0.996378274374198
21,0.9970410924959621
22,0.9977530618715337
23,0.9982265373876336
24,0.9983278072215158
25,0.9984896814410478
26,0.9986129639210732
27,0.9987263646221285
28,0.9987504359489351
29,0.9988774699440813
30,0.9990060315367825
31,0.9998873852324885
32,1.0
33,0.9690890052790626
34,0.969562480722304
35,0.9700068857589127
36,0.9702548813635482
37,0.9712183036360157
38,0.9720585864015183
39,0.972764688255765
40,0.9730126589585302
41,0.9732850639110593
42,0.9735330681138378
43,0.9743499647497964
44,0.9771278625661899
45,0.9774862450802179
46,0.9778525940915783
47,0.9784112881353796
48,0.9786592905482344
49,0.9793180512537304
50,0.9796235296318185
51,0.9798715046058354
52,0.9805130691937699
53,0.9832909990129423
54,0.9840802553477179
55,0.9843282258511905
56,0.9868581719792596
57,0.9872025709332217
58,0.9884144216441376
59,0.9886624253954913
60,0.989384151437644
61,0.989632122778411
62,0.9902926134681175
63,0.990932610938544
64,0.9915272112357352
65,0.9917752394829266
66,0.9920688557644969
67,0.9932303354398453
68,0.9945045527158082
69,0.9953581989335565
70,0.9956062113972626
71,0.9966518517835703
72,0.9971635828241637
73,0.9981980410858197
74,0.998473359780992
75,0.9985431623408062
76,0.9987161763502819
77,0.9988821674522135
78,0.9989239755761289
79,0.9989239786903926
80,0.0
81,0.0023617513241080685
82,0.002631000513341556
83,0.003719654178055088
84,0.004764564379389524
85,0.007001481978653364
86,0.007376963559740752
87,0.007915200954056182
88,0.008581064311995932
89,0.009356852473158393
90,0.009607014209121044
91,0.010028294862528837
92,0.010644498922207658
93,0.012071589936419526
94,0.012692608266170628
95,0.013159260555705625
96,0.013988856034074938
97,0.014467316966604023
98,0.01611754980981956
99,0.01636558219468413
100,0.016762461579650976
101,0.016875084657840867
102,0.016953081495423076
103,0.017161779504115043
104,0.017279663526941217
105,0.017457091518277706
106,0.9739799685202553
107,0.9752947876517453
108,0.976961116526451
109,0.9789135883531237
110,0.9793870638075075
111,0.9797997374250643
112,0.9801433299199082
113,0.9813560619742498
114,0.9816040507247831
115,0.982200222151082
116,0.9839851971188301
117,0.9853049415821153
118,0.9855529145648664
119,0.9872078638646378
120,0.9891683938829049
121,0.9911824611448169
122,0.9918473154795345
123,0.9921300776681595
124,0.9937982480233223
125,0.9956312949518558
126,0.9975702186153237
127,0.9982772322484101
128,0.9983898855183397
129,0.9985552261472251
130,0.9986245635509124
131,0.9987977623598367
132,0.9988361666007852
133,0.9988413820018117
134,0.9989673498894592
135,0.998991524361291
